data_registro;cidade;confirmados;suspeitos;obitos
02-11-2021;Ampére;28;39;0
03-11-2021;Ampére;19;23;0
04-11-2021;Ampére;14;20;0
05-11-2021;Ampére;31;44;1
06-11-2021;Ampére;11;16;0
07-11-2021;Ampére;35;57;1
08-11-2021;Ampére;31;41;0
09-11-2021;Ampére;28;40;1
10-11-2021;Ampére;26;35;1
11-11-2021;Ampére;35;51;1
12-11-2021;Ampére;29;43;1
13-11-2021;Ampére;29;43;1
14-11-2021;Ampére;12;15;0
15-11-2021;Ampére;16;27;0
16-11-2021;Ampére;27;39;0
17-11-2021;Ampére;18;25;0
18-11-2021;Ampére;21;28;0
19-11-2021;Ampére;21;29;1
20-11-2021;Ampére;29;36;1
21-11-2021;Ampére;38;56;1
22-11-2021;Ampére;26;35;0
23-11-2021;Ampére;36;50;1
24-11-2021;Ampére;29;49;1
25-11-2021;Ampére;17;26;0
26-11-2021;Ampére;12;20;0
27-11-2021;Ampére;33;50;0
28-11-2021;Ampére;11;17;0
29-11-2021;Ampére;36;60;1
30-11-2021;Ampére;29;45;1
01-12-2021;Ampére;28;36;1
02-12-2021;Ampére;16;25;0
03-12-2021;Ampére;29;45;0
04-12-2021;Ampére;36;52;0
05-12-2021;Ampére;35;56;1
06-12-2021;Ampére;15;21;0
07-12-2021;Ampére;37;47;0
08-12-2021;Ampére;19;25;0
09-12-2021;Ampére;15;22;0
10-12-2021;Ampére;23;35;1
11-12-2021;Ampére;27;40;0
12-12-2021;Ampére;36;51;1
13-12-2021;Ampére;28;36;1
14-12-2021;Ampére;31;45;1
15-12-2021;Ampére;28;45;1
16-12-2021;Ampére;22;36;0
17-12-2021;Ampére;38;56;1
18-12-2021;Ampére;18;30;0
19-12-2021;Ampére;19;27;1
20-12-2021;Ampére;16;21;0
21-12-2021;Ampére;29;42;1
22-12-2021;Ampére;13;21;0
23-12-2021;Ampére;20;29;0
24-12-2021;Ampére;37;61;1
25-12-2021;Ampére;15;25;0
26-12-2021;Ampére;16;25;0
27-12-2021;Ampére;36;51;1
28-12-2021;Ampére;33;55;1
29-12-2021;Ampére;16;26;0
30-12-2021;Ampére;21;32;1
31-12-2021;Ampére;26;43;1
01-01-2022;Ampére;27;36;0
02-01-2022;Ampére;34;55;1
03-01-2022;Ampére;34;41;1
04-01-2022;Ampére;23;30;0
05-01-2022;Ampére;23;31;0
06-01-2022;Ampére;12;19;0
07-01-2022;Ampére;10;16;0
08-01-2022;Ampére;16;27;0
09-01-2022;Ampére;20;28;0
10-01-2022;Ampére;15;22;0
11-01-2022;Ampére;20;33;0
12-01-2022;Ampére;29;44;0
13-01-2022;Ampére;27;35;1
14-01-2022;Ampére;25;41;0
15-01-2022;Ampére;36;45;1
16-01-2022;Ampére;35;43;1
17-01-2022;Ampére;15;24;0
18-01-2022;Ampére;21;30;1
19-01-2022;Ampére;21;32;1
20-01-2022;Ampére;12;20;0
21-01-2022;Ampére;35;54;1
22-01-2022;Ampére;28;46;1
23-01-2022;Ampére;13;20;0
24-01-2022;Ampére;13;17;0
25-01-2022;Ampére;23;31;0
26-01-2022;Ampére;13;19;0
27-01-2022;Ampére;17;27;0
28-01-2022;Ampére;15;19;0
29-01-2022;Ampére;30;46;1
30-01-2022;Ampére;14;20;0
31-01-2022;Ampére;34;46;1
01-02-2022;Ampére;30;50;0
02-02-2022;Ampére;19;23;0
03-02-2022;Ampére;27;44;1
04-02-2022;Ampére;36;52;0
05-02-2022;Ampére;29;47;0
06-02-2022;Ampére;30;44;1
07-02-2022;Ampére;33;50;1
08-02-2022;Ampére;10;13;0
09-02-2022;Ampére;27;33;1
10-02-2022;Ampére;25;37;0
11-02-2022;Ampére;14;20;0
12-02-2022;Ampére;31;52;1
13-02-2022;Ampére;33;45;1
14-02-2022;Ampére;21;28;0
15-02-2022;Ampére;25;36;1
16-02-2022;Ampére;34;50;1
17-02-2022;Ampére;28;42;1
18-02-2022;Ampére;16;20;0
19-02-2022;Ampére;23;36;0
20-02-2022;Ampére;11;14;0
21-02-2022;Ampére;21;31;0
22-02-2022;Ampére;34;46;1
23-02-2022;Ampére;29;42;0
24-02-2022;Ampére;28;37;0
25-02-2022;Ampére;27;37;0
26-02-2022;Ampére;36;54;1
27-02-2022;Ampére;26;41;1
28-02-2022;Ampére;17;21;0
01-03-2022;Ampére;31;50;0
02-03-2022;Ampére;11;14;0
03-03-2022;Ampére;38;51;0
04-03-2022;Ampére;13;20;0
05-03-2022;Ampére;14;23;0
06-03-2022;Ampére;35;53;1
07-03-2022;Ampére;23;34;1
08-03-2022;Ampére;13;21;0
09-03-2022;Ampére;28;43;1
10-03-2022;Ampére;29;41;1
11-03-2022;Ampére;20;31;0
12-03-2022;Ampére;35;46;1
13-03-2022;Ampére;17;21;0
14-03-2022;Ampére;37;53;1
15-03-2022;Ampére;16;24;0
16-03-2022;Ampére;30;38;1
17-03-2022;Ampére;13;22;0
18-03-2022;Ampére;32;54;1
19-03-2022;Ampére;16;22;0
20-03-2022;Ampére;31;43;1
21-03-2022;Ampére;25;37;0
22-03-2022;Ampére;35;45;1
23-03-2022;Ampére;26;40;0
24-03-2022;Ampére;37;55;1
25-03-2022;Ampére;16;25;0
26-03-2022;Ampére;14;23;0
27-03-2022;Ampére;13;18;0
28-03-2022;Ampére;34;57;1
29-03-2022;Ampére;27;33;1
30-03-2022;Ampére;36;60;1
31-03-2022;Ampére;10;16;0
01-04-2022;Ampére;17;25;0
02-04-2022;Ampére;31;50;1
03-04-2022;Ampére;20;30;0
04-04-2022;Ampére;38;58;1
05-04-2022;Ampére;36;44;1
06-04-2022;Ampére;11;15;0
07-04-2022;Ampére;36;60;0
08-04-2022;Ampére;24;34;0
09-04-2022;Ampére;32;53;1
10-04-2022;Ampére;26;39;0
11-04-2022;Ampére;24;36;1
12-04-2022;Ampére;21;30;0
13-04-2022;Ampére;26;38;1
14-04-2022;Ampére;19;24;0
15-04-2022;Ampére;28;41;1
16-04-2022;Ampére;17;22;0
17-04-2022;Ampére;37;47;1
18-04-2022;Ampére;28;47;1
19-04-2022;Ampére;14;23;0
20-04-2022;Ampére;22;31;1
21-04-2022;Ampére;37;49;1
22-04-2022;Ampére;15;20;0
23-04-2022;Ampére;36;51;1
24-04-2022;Ampére;32;41;1
25-04-2022;Ampére;24;30;1
26-04-2022;Ampére;36;57;0
27-04-2022;Ampére;37;45;1
28-04-2022;Ampére;11;14;0
29-04-2022;Ampére;13;20;0
20-01-2020;Realeza;9;13;0
21-01-2020;Realeza;28;43;1
22-01-2020;Realeza;18;29;0
23-01-2020;Realeza;22;37;0
24-01-2020;Realeza;8;13;0
25-01-2020;Realeza;31;45;1
26-01-2020;Realeza;33;50;1
27-01-2020;Realeza;11;17;0
28-01-2020;Realeza;32;48;1
29-01-2020;Realeza;23;35;0
30-01-2020;Realeza;32;50;1
31-01-2020;Realeza;24;29;0
01-02-2020;Realeza;22;36;1
02-02-2020;Realeza;24;31;0
03-02-2020;Realeza;25;42;0
04-02-2020;Realeza;9;13;0
05-02-2020;Realeza;15;20;0
06-02-2020;Realeza;15;19;0
07-02-2020;Realeza;21;31;0
08-02-2020;Realeza;24;36;0
09-02-2020;Realeza;32;40;0
10-02-2020;Realeza;14;19;0
11-02-2020;Realeza;15;21;0
12-02-2020;Realeza;9;12;0
13-02-2020;Realeza;13;21;0
14-02-2020;Realeza;21;32;0
15-02-2020;Realeza;30;41;0
16-02-2020;Realeza;16;20;0
17-02-2020;Realeza;31;43;1
18-02-2020;Realeza;15;19;0
19-02-2020;Realeza;17;28;0
20-02-2020;Realeza;34;53;1
21-02-2020;Realeza;12;15;0
22-02-2020;Realeza;30;40;0
23-02-2020;Realeza;28;41;1
24-02-2020;Realeza;29;36;0
25-02-2020;Realeza;17;26;0
26-02-2020;Realeza;9;13;0
27-02-2020;Realeza;33;46;1
28-02-2020;Realeza;23;34;0
29-02-2020;Realeza;30;39;0
01-03-2020;Realeza;31;43;1
02-03-2020;Realeza;9;15;0
03-03-2020;Realeza;27;40;0
04-03-2020;Realeza;23;28;0
05-03-2020;Realeza;33;41;1
06-03-2020;Realeza;21;31;0
07-03-2020;Realeza;10;14;0
08-03-2020;Realeza;21;32;0
09-03-2020;Realeza;31;48;1
10-03-2020;Realeza;16;23;0
11-03-2020;Realeza;9;14;0
12-03-2020;Realeza;31;42;0
13-03-2020;Realeza;32;47;1
14-03-2020;Realeza;23;33;0
15-03-2020;Realeza;29;45;1
16-03-2020;Realeza;32;50;0
17-03-2020;Realeza;9;11;0
18-03-2020;Realeza;11;15;0
19-03-2020;Realeza;15;23;0
20-03-2020;Realeza;27;45;1
21-03-2020;Realeza;19;30;0
22-03-2020;Realeza;33;50;1
23-03-2020;Realeza;16;20;0
24-03-2020;Realeza;23;34;0
25-03-2020;Realeza;23;28;1
26-03-2020;Realeza;28;35;0
27-03-2020;Realeza;11;14;0
28-03-2020;Realeza;23;38;0
29-03-2020;Realeza;32;51;0
30-03-2020;Realeza;18;30;0
31-03-2020;Realeza;27;40;0
01-04-2020;Realeza;13;19;0
02-04-2020;Realeza;16;27;0
03-04-2020;Realeza;22;27;0
04-04-2020;Realeza;30;50;0
05-04-2020;Realeza;11;18;0
06-04-2020;Realeza;27;33;1
07-04-2020;Realeza;9;14;0
08-04-2020;Realeza;20;31;1
09-04-2020;Realeza;24;35;1
10-04-2020;Realeza;14;18;0
11-04-2020;Realeza;21;31;1
12-04-2020;Realeza;16;23;0
13-04-2020;Realeza;32;48;1
14-04-2020;Realeza;18;29;0
15-04-2020;Realeza;32;45;1
16-04-2020;Realeza;19;23;0
17-04-2020;Realeza;11;17;0
18-04-2020;Realeza;11;14;0
19-04-2020;Realeza;32;47;1
20-04-2020;Realeza;32;52;1
21-04-2020;Realeza;20;25;0
22-04-2020;Realeza;31;43;1
23-04-2020;Realeza;10;13;0
24-04-2020;Realeza;29;35;1
25-04-2020;Realeza;14;20;0
26-04-2020;Realeza;21;32;0
27-04-2020;Realeza;28;42;0
28-04-2020;Realeza;31;39;1
29-04-2020;Realeza;9;11;0
30-04-2020;Realeza;23;37;0
01-05-2020;Realeza;13;22;0
02-05-2020;Realeza;27;33;0
03-05-2020;Realeza;32;40;0
04-05-2020;Realeza;13;17;0
05-05-2020;Realeza;30;49;1
06-05-2020;Realeza;22;28;0
07-05-2020;Realeza;12;17;0
08-05-2020;Realeza;32;48;0
09-05-2020;Realeza;22;29;0
10-05-2020;Realeza;11;13;0
11-05-2020;Realeza;11;14;0
12-05-2020;Realeza;26;33;1
13-05-2020;Realeza;18;23;0
14-05-2020;Realeza;25;36;1
15-05-2020;Realeza;26;36;1
16-05-2020;Realeza;18;23;1
17-05-2020;Realeza;10;14;0
18-05-2020;Realeza;29;36;1
19-05-2020;Realeza;30;37;0
20-05-2020;Realeza;10;15;0
21-05-2020;Realeza;14;17;0
22-05-2020;Realeza;18;29;0
23-05-2020;Realeza;21;31;0
24-05-2020;Realeza;18;24;0
25-05-2020;Realeza;33;42;1
26-05-2020;Realeza;22;36;0
27-05-2020;Realeza;20;30;0
28-05-2020;Realeza;26;32;1
29-05-2020;Realeza;14;17;0
30-05-2020;Realeza;18;23;0
31-05-2020;Realeza;11;17;0
01-06-2020;Realeza;19;29;1
02-06-2020;Realeza;30;44;1
03-06-2020;Realeza;20;26;0
04-06-2020;Realeza;33;53;1
05-06-2020;Realeza;27;38;1
06-06-2020;Realeza;20;28;0
07-06-2020;Realeza;17;25;0
08-06-2020;Realeza;33;41;1
09-06-2020;Realeza;20;33;1
10-06-2020;Realeza;9;13;0
11-06-2020;Realeza;9;13;0
12-06-2020;Realeza;22;28;1
13-06-2020;Realeza;34;51;1
14-06-2020;Realeza;31;47;1
15-06-2020;Realeza;13;22;0
16-06-2020;Realeza;18;28;0
17-06-2020;Realeza;31;44;1
18-06-2020;Realeza;31;52;1
19-06-2020;Realeza;15;24;0
20-06-2020;Realeza;22;37;1
21-06-2020;Realeza;26;41;0
22-06-2020;Realeza;25;35;1
23-06-2020;Realeza;22;37;0
24-06-2020;Realeza;32;42;1
25-06-2020;Realeza;12;17;0
26-06-2020;Realeza;12;15;0
27-06-2020;Realeza;27;40;0
28-06-2020;Realeza;25;32;0
29-06-2020;Realeza;27;36;1
30-06-2020;Realeza;10;15;0
01-07-2020;Realeza;33;55;0
02-07-2020;Realeza;15;23;0
03-07-2020;Realeza;32;45;0
04-07-2020;Realeza;28;43;1
05-07-2020;Realeza;16;24;0
06-07-2020;Realeza;21;35;1
07-07-2020;Realeza;33;45;1
08-07-2020;Realeza;19;32;0
09-07-2020;Realeza;22;33;0
10-07-2020;Realeza;11;19;0
11-07-2020;Realeza;28;46;1
12-07-2020;Realeza;31;47;0
13-07-2020;Realeza;29;42;1
14-07-2020;Realeza;21;33;0
15-07-2020;Realeza;31;46;0
16-07-2020;Realeza;31;44;1
17-07-2020;Realeza;14;20;0
18-07-2020;Realeza;12;17;0
19-07-2020;Realeza;25;31;1
20-07-2020;Realeza;27;34;1
21-07-2020;Realeza;20;30;0
22-07-2020;Realeza;29;35;0
23-07-2020;Realeza;13;18;0
24-07-2020;Realeza;28;43;0
25-07-2020;Realeza;33;50;1
26-07-2020;Realeza;31;52;0
27-07-2020;Realeza;25;40;0
28-07-2020;Realeza;24;36;1
29-07-2020;Realeza;18;25;0
30-07-2020;Realeza;9;13;0
31-07-2020;Realeza;24;31;1
01-08-2020;Realeza;25;41;0
02-08-2020;Realeza;22;27;0
03-08-2020;Realeza;9;13;0
04-08-2020;Realeza;26;40;1
05-08-2020;Realeza;11;15;0
06-08-2020;Realeza;14;23;0
07-08-2020;Realeza;31;45;1
08-08-2020;Realeza;32;41;0
09-08-2020;Realeza;14;19;0
10-08-2020;Realeza;19;28;1
11-08-2020;Realeza;27;45;1
12-08-2020;Realeza;11;17;0
13-08-2020;Realeza;31;52;0
14-08-2020;Realeza;22;29;1
15-08-2020;Realeza;16;25;0
16-08-2020;Realeza;15;19;0
17-08-2020;Realeza;25;33;0
18-08-2020;Realeza;19;24;0
19-08-2020;Realeza;16;27;0
20-08-2020;Realeza;29;45;1
21-08-2020;Realeza;19;31;1
22-08-2020;Realeza;34;54;1
23-08-2020;Realeza;11;17;0
24-08-2020;Realeza;31;49;1
25-08-2020;Realeza;15;19;0
26-08-2020;Realeza;27;42;0
27-08-2020;Realeza;22;27;1
28-08-2020;Realeza;11;17;0
29-08-2020;Realeza;27;37;1
30-08-2020;Realeza;24;32;1
31-08-2020;Realeza;16;21;0
01-09-2020;Realeza;18;22;0
02-09-2020;Realeza;20;25;0
03-09-2020;Realeza;27;38;1
04-09-2020;Realeza;24;38;1
05-09-2020;Realeza;21;35;0
06-09-2020;Realeza;14;23;0
07-09-2020;Realeza;12;18;0
08-09-2020;Realeza;11;14;0
09-09-2020;Realeza;10;15;0
10-09-2020;Realeza;20;28;0
11-09-2020;Realeza;32;53;1
12-09-2020;Realeza;30;39;0
13-09-2020;Realeza;21;33;0
14-09-2020;Realeza;27;41;1
15-09-2020;Realeza;22;30;0
16-09-2020;Realeza;17;28;0
17-09-2020;Realeza;10;14;0
18-09-2020;Realeza;27;40;0
19-09-2020;Realeza;28;36;1
20-09-2020;Realeza;21;26;0
21-09-2020;Realeza;23;29;1
22-09-2020;Realeza;21;28;0
23-09-2020;Realeza;31;41;1
24-09-2020;Realeza;15;19;0
25-09-2020;Realeza;21;35;0
26-09-2020;Realeza;18;26;0
27-09-2020;Realeza;14;17;0
28-09-2020;Realeza;19;26;0
29-09-2020;Realeza;16;24;0
30-09-2020;Realeza;27;41;0
01-10-2020;Realeza;30;41;1
02-10-2020;Realeza;32;46;1
03-10-2020;Realeza;10;12;0
04-10-2020;Realeza;15;24;0
05-10-2020;Realeza;22;29;1
06-10-2020;Realeza;8;10;0
07-10-2020;Realeza;30;50;1
08-10-2020;Realeza;22;29;1
09-10-2020;Realeza;17;21;0
10-10-2020;Realeza;18;25;0
11-10-2020;Realeza;32;51;1
12-10-2020;Realeza;15;20;0
13-10-2020;Realeza;30;40;1
14-10-2020;Realeza;24;30;1
15-10-2020;Realeza;33;43;0
16-10-2020;Realeza;16;22;0
17-10-2020;Realeza;29;44;0
18-10-2020;Realeza;10;12;0
19-10-2020;Realeza;23;36;0
20-10-2020;Realeza;9;13;0
21-10-2020;Realeza;29;45;1
22-10-2020;Realeza;19;24;0
23-10-2020;Realeza;19;27;0
24-10-2020;Realeza;29;40;1
25-10-2020;Realeza;25;33;0
26-10-2020;Realeza;30;40;1
27-10-2020;Realeza;21;31;0
28-10-2020;Realeza;26;41;1
29-10-2020;Realeza;29;47;1
30-10-2020;Realeza;20;33;0
31-10-2020;Realeza;14;20;0
01-11-2020;Realeza;17;26;0
02-11-2020;Realeza;13;17;0
03-11-2020;Realeza;32;46;1
04-11-2020;Realeza;10;16;0
05-11-2020;Realeza;34;54;1
06-11-2020;Realeza;31;51;1
07-11-2020;Realeza;27;35;0
08-11-2020;Realeza;32;50;0
09-11-2020;Realeza;23;36;1
10-11-2020;Realeza;13;20;0
11-11-2020;Realeza;24;36;1
12-11-2020;Realeza;28;42;1
13-11-2020;Realeza;16;22;0
14-11-2020;Realeza;17;22;0
15-11-2020;Realeza;19;25;0
16-11-2020;Realeza;10;13;0
17-11-2020;Realeza;24;30;1
18-11-2020;Realeza;19;23;0
19-11-2020;Realeza;15;21;0
20-11-2020;Realeza;19;25;0
21-11-2020;Realeza;14;19;0
22-11-2020;Realeza;26;36;1
23-11-2020;Realeza;17;22;0
24-11-2020;Realeza;21;32;1
25-11-2020;Realeza;33;49;0
26-11-2020;Realeza;33;50;1
27-11-2020;Realeza;27;43;1
28-11-2020;Realeza;16;25;0
29-11-2020;Realeza;23;32;0
30-11-2020;Realeza;25;39;0
01-12-2020;Realeza;29;41;0
02-12-2020;Realeza;14;19;0
03-12-2020;Realeza;12;20;0
04-12-2020;Realeza;21;31;0
05-12-2020;Realeza;26;40;1
06-12-2020;Realeza;28;42;1
07-12-2020;Realeza;27;33;1
08-12-2020;Realeza;16;23;0
09-12-2020;Realeza;28;45;1
10-12-2020;Realeza;13;16;0
11-12-2020;Realeza;18;27;0
12-12-2020;Realeza;13;18;0
13-12-2020;Realeza;30;41;1
14-12-2020;Realeza;28;47;0
15-12-2020;Realeza;23;29;1
16-12-2020;Realeza;11;19;0
17-12-2020;Realeza;17;25;0
18-12-2020;Realeza;18;29;0
19-12-2020;Realeza;21;26;1
20-12-2020;Realeza;12;20;0
21-12-2020;Realeza;21;34;0
22-12-2020;Realeza;24;33;0
23-12-2020;Realeza;24;37;0
24-12-2020;Realeza;23;36;1
25-12-2020;Realeza;11;16;0
26-12-2020;Realeza;19;27;0
27-12-2020;Realeza;31;37;1
28-12-2020;Realeza;29;40;1
29-12-2020;Realeza;11;15;0
30-12-2020;Realeza;19;26;0
31-12-2020;Realeza;32;50;0
01-01-2021;Realeza;9;15;0
02-01-2021;Realeza;19;28;0
03-01-2021;Realeza;31;47;1
04-01-2021;Realeza;16;22;0
05-01-2021;Realeza;30;47;1
06-01-2021;Realeza;20;32;0
07-01-2021;Realeza;13;18;0
08-01-2021;Realeza;10;15;0
09-01-2021;Realeza;9;11;0
10-01-2021;Realeza;23;36;1
11-01-2021;Realeza;31;44;1
12-01-2021;Realeza;22;31;1
13-01-2021;Realeza;11;16;0
14-01-2021;Realeza;13;18;0
15-01-2021;Realeza;19;31;0
16-01-2021;Realeza;31;41;1
17-01-2021;Realeza;31;44;1
18-01-2021;Realeza;23;29;1
19-01-2021;Realeza;11;14;0
20-01-2021;Realeza;31;43;1
21-01-2021;Realeza;29;45;1
22-01-2021;Realeza;15;25;0
23-01-2021;Realeza;11;18;0
24-01-2021;Realeza;16;23;0
25-01-2021;Realeza;33;49;1
26-01-2021;Realeza;12;16;0
27-01-2021;Realeza;32;45;0
28-01-2021;Realeza;19;32;1
29-01-2021;Realeza;21;28;0
30-01-2021;Realeza;12;18;0
31-01-2021;Realeza;25;42;0
01-02-2021;Realeza;28;41;1
02-02-2021;Realeza;15;20;0
03-02-2021;Realeza;26;44;0
04-02-2021;Realeza;16;24;0
05-02-2021;Realeza;30;42;1
06-02-2021;Realeza;29;39;1
07-02-2021;Realeza;19;25;0
08-02-2021;Realeza;29;47;1
09-02-2021;Realeza;10;13;0
10-02-2021;Realeza;10;16;0
11-02-2021;Realeza;29;38;0
12-02-2021;Realeza;33;46;1
13-02-2021;Realeza;34;43;1
14-02-2021;Realeza;26;32;0
15-02-2021;Realeza;28;40;0
16-02-2021;Realeza;24;31;1
17-02-2021;Realeza;19;28;0
18-02-2021;Realeza;11;15;0
19-02-2021;Realeza;31;44;1
20-02-2021;Realeza;21;27;1
21-02-2021;Realeza;26;41;1
22-02-2021;Realeza;20;30;0
23-02-2021;Realeza;19;24;0
24-02-2021;Realeza;20;28;0
25-02-2021;Realeza;12;16;0
26-02-2021;Realeza;21;29;1
27-02-2021;Realeza;22;35;1
28-02-2021;Realeza;20;26;0
01-03-2021;Realeza;30;44;1
02-03-2021;Realeza;10;16;0
03-03-2021;Realeza;13;16;0
04-03-2021;Realeza;27;44;0
05-03-2021;Realeza;13;21;0
06-03-2021;Realeza;33;43;0
07-03-2021;Realeza;30;47;0
08-03-2021;Realeza;13;21;0
09-03-2021;Realeza;21;34;0
10-03-2021;Realeza;19;28;1
11-03-2021;Realeza;16;22;0
12-03-2021;Realeza;27;34;0
13-03-2021;Realeza;21;33;0
14-03-2021;Realeza;24;36;0
15-03-2021;Realeza;26;39;0
16-03-2021;Realeza;28;42;1
17-03-2021;Realeza;12;15;0
18-03-2021;Realeza;34;44;1
19-03-2021;Realeza;13;22;0
20-03-2021;Realeza;10;15;0
21-03-2021;Realeza;20;26;0
22-03-2021;Realeza;11;15;0
23-03-2021;Realeza;16;26;0
24-03-2021;Realeza;29;44;1
25-03-2021;Realeza;23;33;0
26-03-2021;Realeza;14;17;0
27-03-2021;Realeza;26;39;0
28-03-2021;Realeza;27;38;1
29-03-2021;Realeza;13;17;0
30-03-2021;Realeza;28;38;1
31-03-2021;Realeza;31;46;1
01-04-2021;Realeza;20;32;0
02-04-2021;Realeza;21;27;0
03-04-2021;Realeza;25;37;1
04-04-2021;Realeza;18;22;0
05-04-2021;Realeza;23;33;0
06-04-2021;Realeza;29;48;1
07-04-2021;Realeza;33;54;0
08-04-2021;Realeza;16;24;0
09-04-2021;Realeza;17;22;0
10-04-2021;Realeza;21;27;0
11-04-2021;Realeza;10;17;0
12-04-2021;Realeza;20;25;0
13-04-2021;Realeza;11;15;0
14-04-2021;Realeza;10;15;0
15-04-2021;Realeza;23;31;1
16-04-2021;Realeza;18;24;0
17-04-2021;Realeza;15;19;0
18-04-2021;Realeza;26;43;1
19-04-2021;Realeza;22;37;1
20-04-2021;Realeza;32;42;0
21-04-2021;Realeza;18;28;0
22-04-2021;Realeza;16;23;0
23-04-2021;Realeza;25;41;1
24-04-2021;Realeza;26;40;1
25-04-2021;Realeza;23;34;0
26-04-2021;Realeza;15;25;0
27-04-2021;Realeza;11;17;0
28-04-2021;Realeza;19;31;0
29-04-2021;Realeza;24;33;0
30-04-2021;Realeza;16;25;0
01-05-2021;Realeza;24;32;1
02-05-2021;Realeza;16;26;0
03-05-2021;Realeza;9;14;0
04-05-2021;Realeza;23;34;1
05-05-2021;Realeza;15;22;0
06-05-2021;Realeza;29;40;0
07-05-2021;Realeza;33;45;1
08-05-2021;Realeza;20;28;0
09-05-2021;Realeza;14;23;0
10-05-2021;Realeza;25;31;0
11-05-2021;Realeza;16;24;0
12-05-2021;Realeza;20;25;0
13-05-2021;Realeza;24;39;1
14-05-2021;Realeza;13;16;0
15-05-2021;Realeza;26;40;1
16-05-2021;Realeza;28;45;1
17-05-2021;Realeza;29;47;1
18-05-2021;Realeza;16;21;0
19-05-2021;Realeza;18;25;0
20-05-2021;Realeza;15;24;0
21-05-2021;Realeza;15;24;0
22-05-2021;Realeza;12;19;0
23-05-2021;Realeza;27;34;1
24-05-2021;Realeza;10;16;0
25-05-2021;Realeza;15;20;0
26-05-2021;Realeza;18;25;0
27-05-2021;Realeza;29;46;1
28-05-2021;Realeza;34;43;1
29-05-2021;Realeza;23;35;0
30-05-2021;Realeza;17;25;0
31-05-2021;Realeza;27;36;1
01-06-2021;Realeza;28;43;1
02-06-2021;Realeza;30;50;0
03-06-2021;Realeza;26;34;0
04-06-2021;Realeza;16;21;0
05-06-2021;Realeza;27;40;0
06-06-2021;Realeza;12;17;0
07-06-2021;Realeza;28;42;1
08-06-2021;Realeza;25;34;0
09-06-2021;Realeza;31;41;1
10-06-2021;Realeza;21;30;0
11-06-2021;Realeza;23;36;0
12-06-2021;Realeza;21;28;0
13-06-2021;Realeza;18;23;0
14-06-2021;Realeza;9;14;0
15-06-2021;Realeza;28;42;1
16-06-2021;Realeza;22;33;0
17-06-2021;Realeza;28;36;0
18-06-2021;Realeza;26;35;0
19-06-2021;Realeza;11;14;0
20-06-2021;Realeza;32;44;1
21-06-2021;Realeza;22;34;0
22-06-2021;Realeza;15;21;0
23-06-2021;Realeza;18;22;0
24-06-2021;Realeza;22;29;1
25-06-2021;Realeza;16;19;0
26-06-2021;Realeza;31;43;1
27-06-2021;Realeza;16;21;0
28-06-2021;Realeza;10;15;0
29-06-2021;Realeza;34;56;0
30-06-2021;Realeza;29;35;0
01-07-2021;Realeza;9;12;0
02-07-2021;Realeza;31;38;1
03-07-2021;Realeza;18;26;0
04-07-2021;Realeza;15;20;0
05-07-2021;Realeza;33;49;0
06-07-2021;Realeza;17;24;0
07-07-2021;Realeza;29;44;0
08-07-2021;Realeza;32;51;1
09-07-2021;Realeza;27;41;1
10-07-2021;Realeza;33;56;1
11-07-2021;Realeza;18;25;0
12-07-2021;Realeza;24;37;0
13-07-2021;Realeza;20;25;0
14-07-2021;Realeza;21;27;0
15-07-2021;Realeza;19;30;0
16-07-2021;Realeza;18;22;0
17-07-2021;Realeza;30;42;1
18-07-2021;Realeza;22;37;0
19-07-2021;Realeza;17;26;0
20-07-2021;Realeza;23;38;1
21-07-2021;Realeza;15;25;0
22-07-2021;Realeza;27;43;1
23-07-2021;Realeza;24;33;0
24-07-2021;Realeza;19;23;0
25-07-2021;Realeza;28;36;0
26-07-2021;Realeza;13;17;0
27-07-2021;Realeza;33;42;1
28-07-2021;Realeza;16;23;0
29-07-2021;Realeza;31;49;1
30-07-2021;Realeza;13;18;0
31-07-2021;Realeza;16;27;0
01-08-2021;Realeza;24;33;1
02-08-2021;Realeza;21;31;0
03-08-2021;Realeza;19;27;0
04-08-2021;Realeza;15;18;0
05-08-2021;Realeza;19;23;0
06-08-2021;Realeza;32;52;1
07-08-2021;Realeza;15;22;0
08-08-2021;Realeza;30;37;0
09-08-2021;Realeza;29;48;0
10-08-2021;Realeza;18;26;0
11-08-2021;Realeza;33;55;0
12-08-2021;Realeza;27;33;0
13-08-2021;Realeza;17;21;0
14-08-2021;Realeza;19;23;1
15-08-2021;Realeza;18;24;0
16-08-2021;Realeza;33;41;1
17-08-2021;Realeza;16;25;0
18-08-2021;Realeza;23;30;0
19-08-2021;Realeza;13;19;0
20-08-2021;Realeza;21;34;0
21-08-2021;Realeza;27;45;1
22-08-2021;Realeza;33;47;1
23-08-2021;Realeza;17;22;0
24-08-2021;Realeza;27;33;0
25-08-2021;Realeza;16;19;0
26-08-2021;Realeza;14;18;0
27-08-2021;Realeza;12;17;0
28-08-2021;Realeza;17;28;0
29-08-2021;Realeza;33;45;1
30-08-2021;Realeza;23;31;1
31-08-2021;Realeza;25;33;1
01-09-2021;Realeza;20;28;0
02-09-2021;Realeza;12;18;0
03-09-2021;Realeza;26;37;0
04-09-2021;Realeza;21;26;0
05-09-2021;Realeza;10;14;0
06-09-2021;Realeza;23;37;0
07-09-2021;Realeza;23;36;1
